symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
8604.T,"Nomura Holdings, Inc.",EQUITY,JPY,japan,"{'raw': 1521625595904, 'fmt': '1.522T', 'longFmt': '1,521,625,595,904'}",11146624109,"nomura,holdings"
6645.T,OMRON Corporation,EQUITY,JPY,japan,"{'raw': 1508030152704, 'fmt': '1.508T', 'longFmt': '1,508,030,152,704'}",11047031084,omron
9143.T,"SG Holdings Co.,Ltd.",EQUITY,JPY,japan,"{'raw': 1497254854656, 'fmt': '1.497T', 'longFmt': '1,497,254,854,656'}",10968096951,"sg,holdings"
7532.T,Pan Pacific International Holdings Corporation,EQUITY,JPY,japan,"{'raw': 1470404231168, 'fmt': '1.47T', 'longFmt': '1,470,404,231,168'}",10771403489,"pan,pacific"
3407.T,Asahi Kasei Corporation,EQUITY,JPY,japan,"{'raw': 1430989570048, 'fmt': '1.431T', 'longFmt': '1,430,989,570,048'}",10482672534,"asahi,kasei"
6701.T,NEC Corporation,EQUITY,JPY,japan,"{'raw': 1332490665984, 'fmt': '1.332T', 'longFmt': '1,332,490,665,984'}",9761121673,"nec,corporation"
7202.T,Isuzu Motors Limited,EQUITY,JPY,japan,"{'raw': 1306102464512, 'fmt': '1.306T', 'longFmt': '1,306,102,464,512'}",9567815669,isuzu
6988.T,Nitto Denko Corporation,EQUITY,JPY,japan,"{'raw': 1298082824192, 'fmt': '1.298T', 'longFmt': '1,298,082,824,192'}",9509068027,nitto
2267.T,"Yakult Honsha Co.,Ltd.",EQUITY,JPY,japan,"{'raw': 1280954859520, 'fmt': '1.281T', 'longFmt': '1,280,954,859,520'}",9383597619,yakult
9021.T,West Japan Railway Company,EQUITY,JPY,japan,"{'raw': 1277517234176, 'fmt': '1.278T', 'longFmt': '1,277,517,234,176'}",9358415395,"west,japan"
3064.T,"MonotaRO Co., Ltd.",EQUITY,JPY,japan,"{'raw': 1258483089408, 'fmt': '1.258T', 'longFmt': '1,258,483,089,408'}",9218981320,monotaro
6146.T,Disco Corporation,EQUITY,JPY,japan,"{'raw': 1257886318592, 'fmt': '1.258T', 'longFmt': '1,257,886,318,592'}",9214609693,"disco,corporation"
4324.T,Dentsu Group Inc.,EQUITY,JPY,japan,"{'raw': 1254391939072, 'fmt': '1.254T', 'longFmt': '1,254,391,939,072'}",9189011717,dentsu
3402.T,"Toray Industries, Inc.",EQUITY,JPY,japan,"{'raw': 1252563353600, 'fmt': '1.253T', 'longFmt': '1,252,563,353,600'}",9175616467,toray
7701.T,Shimadzu Corporation,EQUITY,JPY,japan,"{'raw': 1250802008064, 'fmt': '1.251T', 'longFmt': '1,250,802,008,064'}",9162713782,shimadzu
4704.T,Trend Micro Incorporated,EQUITY,JPY,japan,"{'raw': 1232409722880, 'fmt': '1.232T', 'longFmt': '1,232,409,722,880'}",9027981631,"trend,micro"
9202.T,ANA Holdings Inc.,EQUITY,JPY,japan,"{'raw': 1232285466624, 'fmt': '1.232T', 'longFmt': '1,232,285,466,624'}",9027071395,"ana,holdings"
8308.T,"Resona Holdings, Inc.",EQUITY,JPY,japan,"{'raw': 1229893009408, 'fmt': '1.23T', 'longFmt': '1,229,893,009,408'}",9009545519,resona
6506.T,YASKAWA Electric Corporation,EQUITY,JPY,japan,"{'raw': 1227338678272, 'fmt': '1.227T', 'longFmt': '1,227,338,678,272'}",8990833841,yaskawa
9503.T,"The Kansai Electric Power Company, Incorporated",EQUITY,JPY,japan,"{'raw': 1184326221824, 'fmt': '1.184T', 'longFmt': '1,184,326,221,824'}",8675747340,"kansai,electric"
8951.T,Nippon Building Fund Incorporation,EQUITY,JPY,japan,"{'raw': 1171982123008, 'fmt': '1.172T', 'longFmt': '1,171,982,123,008'}",8585321003,"nippon,building"
8697.T,"Japan Exchange Group, Inc.",EQUITY,JPY,japan,"{'raw': 1144763973632, 'fmt': '1.145T', 'longFmt': '1,144,763,973,632'}",8385935240,jpx
7259.T,Aisin Corporation,EQUITY,JPY,japan,"{'raw': 1122567454720, 'fmt': '1.123T', 'longFmt': '1,122,567,454,720'}",8223335286,aisin
9531.T,"Tokyo Gas Co.,Ltd.",EQUITY,JPY,japan,"{'raw': 1121278230528, 'fmt': '1.121T', 'longFmt': '1,121,278,230,528'}",8213891111,"tokyo,gas"
5019.T,"Idemitsu Kosan Co.,Ltd.",EQUITY,JPY,japan,"{'raw': 1098534617088, 'fmt': '1.099T', 'longFmt': '1,098,534,617,088'}",8047283431,idemitsu
4755.T,"Rakuten Group, Inc.",EQUITY,JPY,japan,"{'raw': 1095588904960, 'fmt': '1.096T', 'longFmt': '1,095,588,904,960'}",8025704703,rakuten
9201.T,"Japan Airlines Co., Ltd.",EQUITY,JPY,japan,"{'raw': 1092080500736, 'fmt': '1.092T', 'longFmt': '1,092,080,500,736'}",8000003990,"japan,airlines"
4716.T,Oracle Corporation Japan,EQUITY,JPY,japan,"{'raw': 1084634300416, 'fmt': '1.085T', 'longFmt': '1,084,634,300,416'}",7945457065,oracle
5201.T,AGC Inc.,EQUITY,JPY,japan,"{'raw': 1081417728000, 'fmt': '1.081T', 'longFmt': '1,081,417,728,000'}",7921894158,"agc,inc"
4091.T,Nippon Sanso Holdings Corporation,EQUITY,JPY,japan,"{'raw': 1079708745728, 'fmt': '1.08T', 'longFmt': '1,079,708,745,728'}",7909375058,"nippon,sanso"
9502.T,"Chubu Electric Power Company, Incorporated",EQUITY,JPY,japan,"{'raw': 1062380896256, 'fmt': '1.062T', 'longFmt': '1,062,380,896,256'}",7782440400,"chubu,electric"
6383.T,"Daifuku Co., Ltd.",EQUITY,JPY,japan,"{'raw': 1054762270720, 'fmt': '1.055T', 'longFmt': '1,054,762,270,720'}",7726630379,daifuku
