symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
603195.SS,"Gongniu Group Co., Ltd.",EQUITY,CNY,china,"{'raw': 88417435648, 'fmt': '88.417B', 'longFmt': '88,417,435,648'}",12905017508,gongniu
601689.SS,"Ningbo Tuopu Group Co.,Ltd.",EQUITY,CNY,china,"{'raw': 87690125312, 'fmt': '87.69B', 'longFmt': '87,690,125,312'}",12798862511,tuopu
002230.SZ,"iFLYTEK CO.,LTD",EQUITY,CNY,china,"{'raw': 87163854848, 'fmt': '87.164B', 'longFmt': '87,163,854,848'}",12722050404,iflytek
601989.SS,China Shipbuilding Industry Company Limited,EQUITY,CNY,china,"{'raw': 87103635456, 'fmt': '87.104B', 'longFmt': '87,103,635,456'}",12713261048,"china,shipbuilding"
002920.SZ,"Huizhou Desay SV Automotive Co., Ltd.",EQUITY,CNY,china,"{'raw': 86606086144, 'fmt': '86.606B', 'longFmt': '86,606,086,144'}",12640640953,desay
601169.SS,"Bank of Beijing Co., Ltd.",EQUITY,CNY,china,"{'raw': 86686294016, 'fmt': '86.686B', 'longFmt': '86,686,294,016'}",12652347739,"bank,of,beijing"
000877.SZ,"Xinjiangtianshan Cement Co.,Ltd",EQUITY,CNY,china,"{'raw': 84901519360, 'fmt': '84.902B', 'longFmt': '84,901,519,360'}",12391849931,xinjiangtianshan
002027.SZ,"Focus Media Information Technology Co., Ltd.",EQUITY,CNY,china,"{'raw': 83620339712, 'fmt': '83.62B', 'longFmt': '83,620,339,712'}",12204854621,"focus,media"
600886.SS,"SDIC Power Holdings Co., Ltd.",EQUITY,CNY,china,"{'raw': 83114098688, 'fmt': '83.114B', 'longFmt': '83,114,098,688'}",12130965922,sdic
601229.SS,"Bank of Shanghai Co., Ltd.",EQUITY,CNY,china,"{'raw': 82398863360, 'fmt': '82.399B', 'longFmt': '82,398,863,360'}",12026573339,"bank,of,shanghai"
300347.SZ,"Hangzhou Tigermed Consulting Co., Ltd.",EQUITY,CNY,china,"{'raw': 81903747072, 'fmt': '81.904B', 'longFmt': '81,903,747,072'}",11954308358,tigermed
601868.SS,China Energy Engineering Corporation Limited,EQUITY,CNY,china,"{'raw': 80558686208, 'fmt': '80.559B', 'longFmt': '80,558,686,208'}",11757989228,"china,energy"
600522.SS,"Jiangsu Zhongtian Technology Co., Ltd.",EQUITY,CNY,china,"{'raw': 80170196992, 'fmt': '80.17B', 'longFmt': '80,170,196,992'}",11701287062,zhongtian
688012.SS,Advanced Micro-Fabrication Equipment Inc. China,EQUITY,CNY,china,"{'raw': 79908356096, 'fmt': '79.908B', 'longFmt': '79,908,356,096'}",11663069924,micro-fabrication
600926.SS,"Bank of Hangzhou Co., Ltd.",EQUITY,CNY,china,"{'raw': 79406317568, 'fmt': '79.406B', 'longFmt': '79,406,317,568'}",11589794603,"bank,of,hangzhou"
002271.SZ,"Beijing Oriental Yuhong Waterproof Technology Co., Ltd.",EQUITY,CNY,china,"{'raw': 79015600128, 'fmt': '79.016B', 'longFmt': '79,015,600,128'}",11532767215,yuhong
300957.SZ,Yunnan Botanee Bio-Technology Group Co.LTD,EQUITY,CNY,china,"{'raw': 78700642304, 'fmt': '78.701B', 'longFmt': '78,700,642,304'}",11486797365,botanee
600015.SS,"Hua Xia Bank Co., Limited",EQUITY,CNY,china,"{'raw': 78946410496, 'fmt': '78.946B', 'longFmt': '78,946,410,496'}",11522668602,xia
600745.SS,"Wingtech Technology Co.,Ltd",EQUITY,CNY,china,"{'raw': 78245224448, 'fmt': '78.245B', 'longFmt': '78,245,224,448'}",11420326591,wingtech
600732.SS,"Shanghai Aiko Solar Energy Co., Ltd.",EQUITY,CNY,china,"{'raw': 78357979136, 'fmt': '78.358B', 'longFmt': '78,357,979,136'}",11436783766,aiko
600115.SS,China Eastern Airlines Corporation Limited,EQUITY,CNY,china,"{'raw': 77447585792, 'fmt': '77.448B', 'longFmt': '77,447,585,792'}",11303906783,"china,eastern"
601865.SS,"Flat Glass Group Co., Ltd.",EQUITY,CNY,china,"{'raw': 76383199232, 'fmt': '76.383B', 'longFmt': '76,383,199,232'}",11148553633,"flat,glass"
600795.SS,"GD Power Development Co.,Ltd",EQUITY,CNY,china,"{'raw': 76336373760, 'fmt': '76.336B', 'longFmt': '76,336,373,760'}",11141719194,"gd,power"
603833.SS,Oppein Home Group Inc.,EQUITY,CNY,china,"{'raw': 76052627456, 'fmt': '76.053B', 'longFmt': '76,052,627,456'}",11100304840,oppein
